,merge,,,,Complaint/Feedback,ID,_text_sentiment_score,senti_score_min,senti_score_max,#DIV/0!
59,"If she had authority to approve loans, I might still be a client. Too many hoops for her to have to navigate and didn't have final authority.",,,,Complaint,9999102634,-4,-1.4001783,0.3543825,-0.5228979
60,"2 deposits made to my account in error (belonged to different customer) those were easy to fix.  I found great difficulty in getting clear answers when I recently worked in trying to open a letter of credit. I was bounced between two people, I would have to follow up with them, things came up at the end of the process that should have been identified much earlier - overall a bad experience for me.",,,,Complaint,9999106692,-4,-0.9473518,-0.05413018,-0.50074099
61,Lower transaction costs.  I'm not at all unhappy.,,,,Complaint,9999102443,-4,-0.26046777,-0.136834,-0.198650885
62,"When the Chase reps come to tell us that they cannot afford to keep our business and to avoid paying large monthly fees we should go to another bank,  they should not disclose that JPMorgan Chase is putting them up at the XXXX XXXX a very expensive hotel",,,,Complaint,9999106052,-4,-0.22296971,-0.22296971,-0.22296971
63,Please bring back the capability to work with local tax bills.  We had to switch to M&T as your lock box service changed.,,,,Complaint,9999101888,-4,-0.013020888,0.11172042,0.049349766
64,Our fobs expired including our administrator's fob.  We knew the expiration was approaching and we even called to make sure we did not have to do anything.  Our new fobs never reached us because they were sent to an old address.  We were without access to our accounts for 10 days.  It was unacceptable.,,,,Complaint,9999106561,-4,-1.3122509,0.29744855,-0.507401175
65,,,,,Complaint,9999101242,-4,,,#DIV/0!
66,Cash Management has been disruptive. Trying to get the products needed setup from the inception. Double approval of services is debilitating.,,,,Complaint,9999106552,-4,-0.44362766,-0.21025355,-0.326940605
67,Loan interest billing.  The system does not accurately calculate interest. Chase systems do not seem to tie together.,,,,Complaint,9999100252,-4,-0.7074658,0.4392634,-0.1341012
68,I am the president of my company and I would like to have total control of my money. I tried to remove my controller Bill from the Main Administrator and it has not happen. 4 times I have tried.  I do not want to have to go to him for approval of my money,,,,Complaint,9999102696,-4,-1.0548918,0.12481781,-0.465036995
69,"a multiple-check deposit was posted incorrectly; while the bank credited my account for the missing check, I have received no notification that the payer's account has been debited.",,,,Complaint,9999103439,-4,-1.0216421,-1.0216421,-1.0216421
70,She can keep doing what she's doing.,,,,Complaint,9999105514,-4,-0.21128586,0.12307504,-0.04410541
71,lots of turnover with treasury mgmt and credit underwriters.  Lots of rules and information required just to have in file.,,,,Complaint,9999101292,-4,0.22537799,0.30572653,0.26555226
72,KEEP XXXX XXXX & BRING BACK XXXX XXXX - BOTH ARE OUTSTANDING,,,,Complaint,9999106054,-4,0.58145314,0.58145314,0.58145314
73,Already excellent so nothing to improve,,,,Complaint,9999106597,-4,0.3909011,0.5415132,0.46620715
74,Our commercial credit cards are consistently shut down due to fraud. To the point that it is an administrative burden. My personal credit card is almost never shut down. Why the hassle?,,,,Complaint,9999105284,-4,-0.35875672,0.20616467,-0.076296025
75,"Opened up new sub-account, however am unable to transfer funds online to new sub-account, from main account. Have been told that they were working on it.",,,,Complaint,9999100943,-4,-1.2202797,0.26630518,-0.47698726
76,See prior comments,,,,Complaint,9999105836,-4,-0.6296667,-0.6296667,-0.6296667
77,Learn about serving 'unimportant' customers,,,,Complaint,9999101237,-4,-0.6182412,0.796985,0.0893719
78,Provide consistent service,,,,Complaint,9999102449,-4,-0.77640605,-0.77640605,-0.77640605
79,cant get wires out in timely manor creates stress for me and recipient,,,,Complaint,9999101112,-4,-0.32537374,0.07245578,-0.12645898
80,Problems with uploading checks into positive pay.  Partial files are uploaded.,,,,Complaint,9999101717,-4,-0.79384816,0.15116931,-0.321339425
81,the level of bureaucracy is rather cumbersome,,,,Complaint,9999105262,-4,-0.36788097,-0.36788097,-0.36788097
82,Constant turnover with account managers.  Communication from previous executive basically non existent.,,,,Complaint,9999103040,-4,-0.55808794,0.13252538,-0.21278128
83,Timeliness of communiucation,,,,Complaint,9999103575,-4,-0.29278213,-0.29278213,-0.29278213
84,"VARIETY OF ISSUES, SOME WITH INTERNATIONAL BANKING, TOOK A VERY LONG TIME TO RESOLVE. CHASE REP WAS VERY HELPFUL BUT IT WAS PAINFUL.  ISSUE WITH JP MORGAN ACCESS, RESETTTING ADMINSTRATORS, TOOK MUCH LONGER TO RESOLVE THAN ANTICIAPTED.",,,,Complaint,9999100639,-4,-0.54845595,-0.1941477,-0.371301825
85,It is the website that seems to be down a lot. We also have had trouble running reports. They have been taking extended times to run.,,,,Complaint,9999103288,-4,-0.2857262,0.15810552,-0.06381034
86,"Within the last couple of months, we discovered a transfer that was not returned to our primary bank account.  This happened about 3 years ago and I understand it takes time to research.  It's been almost a month since it was reported to Chase, and we have no resolution yet.",,,,Complaint,9999102682,-4,-0.7343823,0.046204284,-0.344089008
87,I asked for pricing changes based on market rates and was given the around by XXXX XXXX. They backed us into ridiculous contract for 5 years that we can't get out of.  As soon as our contract is up we are leaving!,,,,Complaint,9999104571,-4,-1.0348108,-0.122930326,-0.578870563
88,departments within JP Morgan do not talk to one another and so it is difficult at times to get an answer.,,,,Complaint,9999105916,-4,-0.11199315,-0.11199315,-0.11199315
89,My contact is usually XXXX XXXX.,,,,Complaint,9999102622,-4,-0.18310016,-0.06562354,-0.12436185
90,"The bank procedures are designed for large companies. The controls required for a virtual company, with few employees, are somewhat impractical. For example dual approvals for wires.",,,,Complaint,9999104239,-4,-0.87182367,-0.035445705,-0.453634688
91,often unavailable and emails not answered,,,,Complaint,9999103753,-4,-0.81617403,0.120978266,-0.347597882
92,Nothing,,,,Complaint,9999101989,-4,-0.34295455,-0.34295455,-0.34295455
93,make it easier to add users/entitlements,,,,Complaint,9999103928,-4,0.20897314,0.20897314,0.20897314
94,Can not print MM monthly statements in Access.  Need to request them from my relationship manager.,,,,Complaint,9999102615,-4,-0.7008259,0.028883532,-0.335971184
95,"We don't use Chase for a lot of our banking, but on occasion when I do need something she is very slow to respond to emails if she answers them at all.",,,,Complaint,9999103317,-4,-0.52090836,0.7164302,0.09776092
96,Know my business and myself,,,,Complaint,9999100712,-4,0.28616965,0.28616965,0.28616965
97,One of our owners worked with you to get a mortgage at the personal level and it was quite painful.  He was not working with XXXX XXXX on this part.,,,,Complaint,9999103332,-4,-0.39284602,0.20170148,-0.09557227
98,"Cost reductions, new ideas in banking for our industry, tell me what I don't know that will make improvements to our business.",,,,Complaint,9999101907,-4,0.18200976,0.18200976,0.18200976
99,It all comes down to the fact that we are a small business and we are being forced by the middle market group to go through bureaucratic processes that are not necessary for a business as closely held as ours...e.g. we need two approvals to move money between two accounts will all the same signers,,,,Complaint,9999102648,-4,-0.44270805,0.15755275,-0.14257765
100,It's too late.  We have moved the business to a competitor bank.,,,,Complaint,9999101787,-4,-0.5752134,-0.04805731,-0.311635355
101,This is the worst customer experance with a bank I have. I will be shortly canceling my card and hope never to have to deal with you again,,,,Complaint,9999102981,-4,-1.9705374,0.06728104,-0.95162818
102,Solve the problems.  I'm saying the same things today that I said on last year's evaluation,,,,Complaint,9999106401,-4,-0.84177554,0.47507223,-0.183351655
103,,,,,Complaint,9999103460,-4,,,#DIV/0!
104,Improve communication. I have worked with XXXX XXXX for well over ten years now and have always been very pleased with our relationship and her responsiveness and handling of all of our banking needs. In the last 18-24 months it has become increasingly difficult to get in contact with her. My e-mails and phone calls go for weeks without a response and always require that I follow up with additional calls and e-mails. I'm not sure what has happened but it is at a critical point now. In my opinion a banker should reach out to their clients on a regular basis but definitely a return call or e-mail reply should happen within 24 hours. This has gotten to a critical point. I do not want to look for a lender but I need a lender that I can talk to when I need them.,,,,Complaint,9999103808,-4,-0.95709723,0.8213781,-0.067859565
105,not up to her - Chase needed to step-up on the Term loan and for whatever reason couldn't,,,,Complaint,9999103640,-4,-0.47869474,-0.47869474,-0.47869474
106,,,,,Complaint,9999102031,-4,,,#DIV/0!
107,The documentation requirements are onerous compared to other large banking systems.,,,,Complaint,9999100015,-4,-0.10244146,-0.10244146,-0.10244146
108,,,,,Complaint,9999106344,-4,,,#DIV/0!
109,Using online credit card system is very cumbersome,,,,Complaint,9999104435,-4,-0.5829924,-0.5829924,-0.5829924
110,see above comments,,,,Complaint,9999105644,-4,-0.8944958,0.43115366,-0.23167107
111,Find lower interest rates for my short term loans,,,,Complaint,9999105649,-4,-0.20666642,-0.20666642,-0.20666642
112,Too much paperwork in past getting loans or banking services.,,,,Complaint,9999104205,-4,-0.29627872,-0.29627872,-0.29627872
113,"We were running into credit limit issues on our commercial cards.  It was recommended that we combine all of our accounts into one with one large credit limit.  We agreed to to that.  XXXX XXXX, a Chase employee, forgot to do this in July and apprently you can only do this once a month so we had to wait and deal with credit limit issues until the end of August.  At the end of August I confirm that we've combined our accounts and are good to go.  She tells me that we are good to go.  Then I start getting phone calls and text messages from employees in the field whose cards are rejecting.  I try calling her (no answer), I try calling someone else.  She has a voice message telling me to call a third person.  I call that person (no answer).  I finally call the Program Coordinator Team while a co-worker calls the phone number on the back of the card.  The program coordinator team cannot figure out what is happening but they do see that we only have $17 of credit on our account.  Come to find out this is because all of our commerical cards were collapsed into the one account but our credit limit was not.  I have been working on this credit issue for 6 months and this is the service I get?",,,,Complaint,9999101958,-4,-0.58242357,0.66984,0.043708215
114,To make it easier to set-up and add entitlements for accounts/lockboxes in JPM Access.,,,,Complaint,9999104999,-4,-0.0323978,-0.0323978,-0.0323978
115,She knows my organization and responses to concerns I have.  She is always available and thinks outside the box for problem resolution.,,,,Complaint,9999101017,-4,-0.56161624,0.6201755,0.02927963
116,Documentary Collection,,,,Complaint,9999106303,-4,-0.30383217,-0.30383217,-0.30383217
117,"EMV charges are still not handled correctly, resulting in mysterious credits each month.  A detailed breakout by location cannot be produced.",,,,Complaint,9999103319,-4,-0.6921409,0.06811474,-0.31201308
118,lower loc fees,,,,Complaint,9999103120,-4,0.32836604,0.32836604,0.32836604
119,LOCAL CHASE BRANCH IS NOT UP TO SPEED ON GETTING INFORMATION ON CHECKS UPLOADED FOR POSITIVE PAY AND I HAVE VENDORS THAT COMPLAIN ABOUT THE ISSUE.,,,,Complaint,9999105825,-4,-0.563495,-0.563495,-0.563495
120,We implemented a purchase card program. The feedback has been that the interface is not user friendly and the administration of the program for a small organization is very challenging.,,,,Complaint,9999104475,-4,-0.65729547,-0.008058842,-0.332677156
121,Mark to market was  done on wrong months-   Nothing they could have done to improve,,,,Complaint,9999103520,-4,-0.37605384,0.56307447,0.093510315
122,Help with documentary collections.,,,,Complaint,9999106001,-4,-0.5926923,-0.28230196,-0.43749713
123,The manager never got back to me.,,,,Complaint,9999102740,-4,-0.956622,0.36849263,-0.294064685
124,Delay in getting new checking account opened,,,,Complaint,9999103859,-4,0.29551533,0.29551533,0.29551533
125,Do not change account officer abruptly.,,,,Complaint,9999100581,-4,-0.46560624,-0.46560624,-0.46560624
126,eServe is not user friendly and difficult to navigate.  This has resulted in confusion on payment amendments and payments getting returned.,,,,Complaint,9999104040,-4,-1.1578484,-0.68439126,-0.92111983
127,Tech support for Access platform not nearly as good as before.  There is now a three tier level of support and it requires waiting in at least two queues before a support representative can provide assistance.,,,,Complaint,9999100292,-4,-0.8468096,-0.5180617,-0.68243565
128,This related to the Cash Room in LIC operated by an armored car vendor they keep losing cash deposits and it requires both Chase our staff combined to resolve the issue It not only was Chase's resources it waste our resources there need to be a change,,,,Complaint,9999105994,-4,-0.18012644,-0.18012644,-0.18012644
129,"Technology is similar among major banks. People still matter most. Continue to invest in ability and stability of the personal banking relationship. XXXX XXXX is a good point of contact, knows Chase and can solve problems. A major asset to our relationship.",,,,Complaint,9999102845,-1,0.086469375,0.83289635,0.459682863
130,Return calls and emails in a timely manner.  Follow up on implementations.  It has been two months since I requested remote capture for deposits.  We were told it would take a couple weeks and we still aren't set up or even have the information to order a remote capture device.    The email problems that I have been having have been ongoing for the last 16 months.  I have learned to accept it.,,,,Complaint,9999105888,-1,-0.4889019,0.60223365,0.056665875
131,None- he is the most helpful and we would feel a loss if he did not handle our program (comparing to other banks we deal with and those bankers),,,,Complaint,9999105812,-1,0.52843636,0.52843636,0.52843636
132,Our business has been very well treated by our entire banking team - we are extremely pleased at their responsiveness to issues or requests and how they continually try to save us money and streamline our services. They treat us as people and not simply customers with an account number which is much appreciated. Recently we had a fraud issue and it could not have been handled in a more prompt or efficient manner which prevented us from a huge loss.,,,,Complaint,9999103616,-1,0.017349616,0.62762564,0.322487628
133,incorrect analysis statements.,,,,Complaint,9999105761,-1,-0.873407,-0.873407,-0.873407
134,Discontinue raising the limit of minimum balance [currently 5 million plus] to eliminate having to pay a fee for banking with Chase.,,,,Complaint,9999105332,-1,-0.44603026,-0.44603026,-0.44603026
135,No recommendation. She is exceptional and the reason why we moved services from Bank of America to JPMC.,,,,Complaint,9999105430,-1,-0.78014654,0.70186,-0.03914327
136,we are very happy with the tremendous support and service levels received from the  US Middle Market team but feel that there are elements of our International banking that they do not have authority or control over. this can result in confusion and frustration when dealing with the EU based team.,,,,Complaint,9999105104,-1,-0.3644421,-0.015646182,-0.190044141
137,"She is excellent. Her knowledge of our industry and our organization allows her to be extremely aware of our needs, and in the case of the March ACH announcement fiasco, was a valued source of information as we managed relations with our members who would have been adversely affected by it.",,,,Complaint,9999101644,-1,-0.0605151,0.8428862,0.39118555
138,"He is a valuable resource to us.  He differentiates Chase and is the primary reason we route the majority of our opportunities to Chase.  As a time and resource-constrained CFO, he make my life easier and creates value for our shareholders through his financing, productivity and risk solutions.",,,,Complaint,9999104372,-1,-0.7976611,0.97139466,0.08686678
139,JP Morgan is ok with one of our business but seems to shy away from another.  Why is that?,,,,Complaint,9999100002,-1,-0.5466733,-0.29420066,-0.42043698
140,Chase has become too institutionalized.  Small businesses need local support.  There is no one person to call that can direct a business person to the correct department/person that can assist them.  I have wasted way too much time trying to resolve or get help with an issue over the internet through. Chase has become way to big for our small business.,,,,Complaint,9999100434,-1,-0.9379829,-0.08009555,-0.509039225
141,"please simplify the onboarding of services.  We have 4 different Chase websites we have to go to, and they each have different userids.  They also have different password requirements.  This makes it so complex that it actually decreases security as people have to keep notes",,,,Complaint,9999104005,-1,-0.11904437,0.27881977,0.0798877
142,Setting up an Escrow with Chase for an action we were completing was extremely painstaking and I was left with the distinct impression we were an inconvenience. Four months on I have still not received a response to a voicemail I left with a Chase representative.,,,,Complaint,9999101975,-1,-0.98630935,-0.14686716,-0.566588255
143,More creative ways to increase revenue or to reduce costs.,,,,Complaint,9999105187,-1,0.13400389,0.13400389,0.13400389
144,Closing of lockbox in the Northeast that collected taxes. There wasn't any solution except for us taking back the collection in house.,,,,Complaint,9999106196,-1,-0.3626389,0.089298695,-0.136670103
145,"XXXX XXXX and the entire Chase Team are excellent. Thank you for many years of exceptional professionalism, even during the tough times during the horrible Obama Economy. Chase was there to help and the banker was great.",,,,Complaint,9999103899,-1,0.27400503,0.78918636,0.531595695
146,Continue with fraud alerts offered by JPMC; evaluate fees as our month-to-month average balances are increasing; offer new banking products that will help process checks and ACH - most recently we are moving forward with Virtual Remit.,,,,Complaint,9999105964,-1,-0.67161584,0.4329211,-0.11934737
147,"We were a long outstanding JPM client - depository, line of credit, etc.  We ran into some financial stress a few years ago and JPM pulled the line when we needed it most.  We ultimately found our way to new banking and credit facilities.  The relationship personnel at JPM are terrific in spite of the unfortunate occurrences that happened three years ago.  XXXX XXXX should be commended this.",,,,Complaint,9999105133,-1,0.264283,0.8114579,0.53787045
148,Loan docs for our Line of Credit were sent incorrect. Had to have them re-signed by members of the Board.,,,,Complaint,9999103271,-1,-0.38786903,0.38114148,-0.003363775
149,be proactive in bringing ideas to invest excess funds,,,,Complaint,9999102436,-1,0.08248878,0.08248878,0.08248878
150,Paymentnet software is not user-friendly,,,,Complaint,9999101597,-1,-0.5680243,-0.5680243,-0.5680243
151,One intermittent issue was not resolved. Occasional slow response time to issues. Not as high level of service due to staff cutbacks over the years. This is not an issue of those providing service but of those who decided to cut back staffing levels.,,,,Complaint,9999106491,-1,-0.48701146,-0.26619494,-0.3766032
152,XXXX XXXX and his team are great partners. I appreciate all the time and effort to make things right on what was a rocky beginning to the relationship.  The transition to the middle market side of Chase was seemless and the team has worked hard to make sure we feel supported in all area of the banking relationship.,,,,Complaint,9999106256,-1,0.3563315,0.6891281,0.5227298
153,I do not personally work with him very often.,,,,Complaint,9999100452,-1,-0.06504128,-0.06504128,-0.06504128
154,"Nothing additional comes to mind. He is attentive and proactive to our needs. I appreciate that he coordinates the JPMC resources to assist us with our banking, financing and treasury needs.   He works very hard to ensure our needs are met and we appreciate that.",,,,Complaint,9999105788,-1,-0.20189556,1.0037026,0.40090352
155,"The problems we have with JPMC are not caused by our banker.  He is very good and responsive even though he is based far away from us.  The problem is with the banks rates and policies.  There is nothing he can do to change the rates and the policies, so we recognize he is in no way responsible.  He clearly is doing the best he can and represents the bank well.",,,,Complaint,9999106517,-1,-0.49208662,0.5787723,0.04334284
156,"She is awesome!!  She is working as hard as she can to overcome the institutional problems we're experiencing with Chase.  I wish that Chase could change it's policy regarding the 10% threshold for 'know your customer'. It is affecting our ability to raise money with new but well known partners.  I wish that Chase could provide a credit card within a couple of weeks for our new assisted living centers, (each center is underwritten as a new business entity) instead of 6 weeks.",,,,Complaint,9999103478,-1,-0.47225502,1.0018178,0.26478139
157,Nothing,,,,Complaint,9999105085,-1,-0.07389882,0.73231566,0.32920842
158,"The relationships with our contacts at Chase are wonderful, it is a pleasure to work with them, they are very customer service oriented. The lack of industry knowledge when providing credit and taking on that 'risk' is something that could improve.",,,,Complaint,9999105745,-1,0.023804242,0.91307354,0.468438891
159,"JP is our Purchasing Card provider and is withholding approximately $10,000 in rebates that is in direct violation of the contract.",,,,Complaint,9999101588,-1,0.7874924,0.7874924,0.7874924
160,He is the best and there is nothing more he could do.  Whenever something comes up I reach out to him and he is a trusted advisor.,,,,Complaint,9999100540,-1,0.44192412,0.7933024,0.61761326
161,"Please see the other box asking why I would ever leave JPMorgan/Chase.  Banker is absolutely stellar and I cannot praise him more highly, unless that would place him in line for a promotion away from being our banker.  I am only teasing about the promotion; however, I can't imagine being blessed with another banker as impressive unless you clone him.",,,,Complaint,9999105758,-1,-0.34841183,0.85616136,0.253874765
162,Simplify the use of the Chase credit card website (Smart Data),,,,Complaint,9999102765,-1,0.15346806,0.15346806,0.15346806
163,,,,,Complaint,9999101133,-1,,,#DIV/0!
164,Facilitate getting us more competitive/lower interest rates,,,,Complaint,9999103998,-1,-0.2546218,0.6729151,0.20914665
165,"I do not have any suggestions as to what he could do to improve our relationship with Chase. However, I have complete faith that when he has suggestions for improving the value of our relationship, he will immediately share his thoughts and suggestions with me and other people in our organization.",,,,Complaint,9999105694,-1,-0.15123329,0.89009464,0.369430675
166,Keep is team stable.,,,,Complaint,9999100316,-1,-0.41066882,0.10804787,-0.151310475
167,We regret that we had to move our custody business from JPM because it was not serviced well and the technology had not been updated.,,,,Complaint,9999105662,-1,-0.09651618,-0.09651618,-0.09651618
168,If Chase desires to be a larger Ag lender more knowledge and understanding of the ag volatility is needed.,,,,Complaint,9999103156,-1,0.20073324,0.20073324,0.20073324
169,Nothing.,,,,Complaint,9999105682,-1,-0.2769053,-0.2769053,-0.2769053
170,"More interest and interaction.   I would like to compliment her.  She is outstanding, provides excellent service and is the one consistent, long standing relationship we have in an office that has experienced extreme turnover.  She is the key to our relationship with Chase.",,,,Complaint,9999101558,-1,-0.05835194,1.0867751,0.51421158
171,Nothing.  I am very pleased with him as our relationship manager,,,,Complaint,9999102591,-1,-0.66658735,0.4774199,-0.094583725
172,Work over time to remove the capital maintenance agreement we are currently under.,,,,Complaint,9999101960,-1,0.5518259,1.5395453,1.0456856
173,Continue to help us cut costs and simplify,,,,Complaint,9999104449,-1,0.565515,0.565515,0.565515
174,too long to describe,,,,Complaint,9999100689,-1,-0.43571538,0.03339008,-0.20116265
